Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Alloy1;Alloy2;HEAT;LOT;BATCH;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error;Ru;Ru Error
151;26.09.2023 13:04;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;342,41;4,15;328,83;3,9;<LOD;3,79;41,5;1,94;4,2;0,64;27,1;3,36;<LOD;1,79;4,83;2,69;<LOD;30,64;0,41;0,15;115,79;6,91;<LOD;32,51;45,31;8,67;<LOD;28,44;<LOD;79,77;21792,62;147,09;303,7;32,11;104,54;8,42;168,73;6,49;7111,48;53,21;2,73;1,12;5566,58;56,39;10377,77;102,68;342,34;66,43;2010,14;30,84;37,93;8,54;458,58;16,05;60,05;6,5;<LOD;0,71;<LOD;6,64;<LOD;3,86;31,99;5,52;351,67;23,75;205,48;19,19;611668,5;2232,42;32,8;1,77;69,52;2,11;<LOD;38,59;<LOD;1,5;<LOD;1,5;<LOD;1,5;89414,97;1074,09;331,87;54,14;238078,5;1049,97;3134,93;38,08;<LOD;1296,02;;
152;26.09.2023 13:11;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;362,7;4,25;288,11;3,69;<LOD;3,8;44,8;2,02;4,52;0,66;32,41;3,53;<LOD;1,72;5,14;2,82;<LOD;29,34;0,33;0,15;121,53;7,11;<LOD;32,46;40,14;8,48;<LOD;28,08;<LOD;84,41;25615,34;160,75;323,43;33,31;133,33;9,62;156,95;6,54;7373,63;54,86;2,5;1,3;6408,67;66,03;13054,81;123,64;362,67;76,15;1558,62;27,77;34,52;8,18;464,64;15,47;54,61;6,21;<LOD;0,69;<LOD;6,26;<LOD;3,52;45,45;5,56;320,62;21,87;191,18;17,75;590057,19;2289,22;32,38;1,79;72,47;2,18;<LOD;39,95;<LOD;1,5;<LOD;1,5;<LOD;1,5;99604,38;1120,73;532,93;51,58;245023,45;1077,07;2786;34,74;<LOD;1278,32;;
153;26.09.2023 13:24;TestAll Geo;330,24;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;413,31;4,62;348,23;4,13;<LOD;4,06;50,82;2,17;5,4;0,71;34,3;3,7;<LOD;2,02;6,68;2,98;<LOD;32,28;0,5;0,16;139,77;7,71;<LOD;35,59;49,7;9,31;100,33;16,62;<LOD;72,56;26632,18;167,43;325,1;34,19;89,25;7,66;161,29;6,68;6314,96;51,6;1,86;1,03;5191,36;52,7;10839,47;100,47;339,98;63,28;1857,31;31,97;22,84;8,97;432,48;16,79;49,36;6,79;<LOD;0,75;<LOD;7,09;<LOD;4,08;40,25;6,02;331,01;24,51;190,51;19,79;578864;2454,58;37,79;1,9;81,35;2,33;<LOD;43,02;<LOD;1,5;<LOD;1,5;<LOD;1,5;101357,95;1199,95;364,04;57,8;251021,48;1104,41;3389,86;40,82;<LOD;1419,96;;
154;26.09.2023 13:32;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;383,63;4,53;170,74;3,08;<LOD;4,08;55,61;2,28;4,47;0,7;31,39;3,73;<LOD;2,13;9,15;3,09;<LOD;34,94;0,41;0,16;127,41;7,84;<LOD;39,42;33,37;9,82;107,4;18,12;<LOD;74,38;25549,88;171,14;381,47;36,42;39,15;5,8;133,92;6,39;4136,19;37,49;<LOD;1,18;3959,47;41,19;8109,49;79,15;260,47;50,74;864,99;30,03;<LOD;14,52;395,09;18,26;39,13;7,41;<LOD;0,83;<LOD;7,95;<LOD;4,84;38,11;6,61;325,31;26,66;191,58;21,57;575151,63;2625,54;34,47;1,97;101,78;2,66;<LOD;43,27;<LOD;1,5;<LOD;1,5;<LOD;1,5;104907,27;1295,67;<LOD;95,01;254638,7;1176,67;3440,57;44,75;<LOD;1542,07;;
155;26.09.2023 13:38;TestAll Geo;330,07;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;344,48;4,5;150,5;3,03;<LOD;4,14;54,99;2,35;3,99;0,71;27,62;3,8;<LOD;2,55;6,18;3,08;<LOD;38,42;0,32;0,17;122,53;8,09;<LOD;42,82;28,26;10,38;79,02;18,81;76,59;48,54;22305,45;166,86;333,62;36,42;23,55;4,73;117,45;5,69;2906,94;28,38;<LOD;1,09;4695,3;38,56;6883,31;65,2;300,9;44,12;670,99;30,16;<LOD;15,03;397,94;19,12;36,96;7,72;<LOD;0,86;<LOD;8,57;<LOD;5,04;38,29;6,92;257,18;27,4;173,68;22,67;583806,56;2632,84;31,36;2,02;98,37;2,74;<LOD;43,32;<LOD;1,5;<LOD;1,5;<LOD;1,5;83551,8;1197,34;<LOD;104,76;269304,19;1269,62;3582,13;48,95;<LOD;1661,9;;
156;26.09.2023 13:51;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;391,64;6,31;191,07;3,88;<LOD;300000;58,5;2,59;<LOD;200,82;27,13;4,43;<LOD;2,84;<LOD;7,75;<LOD;42,14;<LOD;300000;140,08;10,39;<LOD;300000;<LOD;20,1;<LOD;40,44;<LOD;102,31;29667,1;260,98;216,86;55,89;32,61;4,43;134,12;6,45;2822,74;27,28;<LOD;0,83;2496,31;29,28;7376,42;65,49;318,53;42,83;959,93;35,54;18,24;11,51;429,22;21,63;53,98;8,82;<LOD;0,97;<LOD;9,71;<LOD;5,84;34,29;7,62;344,82;31,61;204,07;25,57;592173,38;2930,9;35,68;2,23;101,48;2,98;<LOD;48,66;<LOD;1,5;<LOD;1,5;<LOD;1,5;98028,17;1399,41;<LOD;117,21;240568,81;1271,8;4954,72;60,05;<LOD;1871,15;;
157;26.09.2023 14:07;TestAll Geo;330,63;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;370,18;4,43;311,73;3,95;4,63;2,93;74,44;2,5;5,54;0,75;75,31;4,67;<LOD;1,96;10,73;3,78;<LOD;32,08;<LOD;0,22;60,69;6,09;<LOD;34,63;91,08;10,09;91,24;16,53;<LOD;92,09;29224,68;176,51;392,62;36,02;115,86;8,59;162,83;6,94;6953,84;57,5;<LOD;1,48;3894,16;50,1;9968,75;103,67;466,37;70,94;805,49;25,9;<LOD;12,62;392,77;15,9;42,55;6,49;<LOD;0,72;<LOD;6,77;<LOD;3,9;37,9;5,75;394,37;23,8;223,53;18,98;508438,22;2806,42;40,73;2,01;114,31;2,75;<LOD;46,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;138034,58;1454,84;2137,68;72,44;285549,53;1211,7;2905,33;37,74;<LOD;1452,78;;
158;26.09.2023 14:16;TestAll Geo;330,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;379,14;4,34;291,42;3,73;<LOD;4,21;74,67;2,42;5,17;0,72;66,47;4,37;<LOD;1,91;9,71;3,53;<LOD;31,28;0,32;0,15;73,89;6,26;<LOD;33,61;93,83;9,91;<LOD;28,88;<LOD;90,53;30670,37;176,22;377,02;34,89;83,18;7,89;129,11;6,29;5622,9;50,95;<LOD;1,24;2690,92;44,33;13564,76;116,18;422,15;69,66;779,1;26,4;<LOD;13,15;448,07;16,77;53,76;6,77;<LOD;0,75;<LOD;6,82;<LOD;4,08;40,69;5,96;333,99;23,79;185,6;19,11;613026,44;2288,17;38,26;1,92;111;2,63;<LOD;44,3;<LOD;1,5;<LOD;1,5;<LOD;1,5;100742,63;1155,68;585,67;57,87;216720,56;1010,28;3291,08;39;<LOD;1294,71;;
159;26.09.2023 14:34;TestAll Geo;330,17;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;374,68;4,96;301,65;4,34;<LOD;4,92;81,13;2,87;5,3;0,84;72,25;5,15;<LOD;2,65;8,62;4,15;<LOD;38,54;0,42;0,18;89,4;7,88;<LOD;44,63;96,65;12,45;97,96;20,42;<LOD;98,3;39549,27;228,84;410,96;41,89;87,64;6,05;176,78;7,61;4619,96;39,35;<LOD;0,95;2173,42;31,99;6575,21;72,24;388,58;52,92;399;27,96;<LOD;14,07;285,15;17,71;<LOD;10,81;<LOD;0,8;<LOD;8,83;<LOD;5,32;19,06;6,32;366,25;29,62;197,47;23,56;559337,25;2911,8;39,13;2,2;102,27;2,94;<LOD;52,82;<LOD;1,5;<LOD;1,5;<LOD;1,5;112998,55;1441,12;624,31;77,15;249589,16;1221,77;4116,64;50,9;<LOD;1742,1;;
160;26.09.2023 14:41;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;412,13;4,45;284,78;3,66;<LOD;4,06;65,08;2,3;5,71;0,72;58,02;4,15;<LOD;1,79;6,54;3,31;<LOD;30,52;0,3;0,15;69,69;6,07;<LOD;33,44;89,73;9,71;<LOD;29,02;126,22;47,39;26350,52;162,41;338,81;33,67;130,94;8,71;166,76;6,93;7212,94;58;<LOD;1,33;3035,81;44,84;9572,35;100,32;445,73;69,21;870,54;25,83;15,15;8,47;435,18;16;37,71;6,35;<LOD;0,71;<LOD;6,77;<LOD;3,91;37,67;5,66;416,08;24,27;231,78;19,3;538109,5;2606,12;36,88;1,89;107,19;2,57;<LOD;43,64;<LOD;1,5;<LOD;1,5;<LOD;1,5;127490,58;1343,12;965,33;60,92;271670,88;1168,36;3301,36;39,21;<LOD;1377,16;;
161;26.09.2023 15:03;TestAll Geo;330,41;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;422,76;5,13;531,61;5,42;<LOD;4,6;57,78;2,42;4,83;0,75;33,21;3,96;<LOD;2,42;6,64;3,19;<LOD;36,62;0,45;0,17;96,6;7,35;<LOD;40,51;46,69;10,5;120,52;18,96;<LOD;70,31;21497,96;161,13;415,1;38,25;18,37;5,21;255,43;6,62;3672,07;36,18;<LOD;1,44;7919,42;51,41;14246,83;91,6;502,94;53,67;2805,08;40,98;<LOD;15,03;379,27;18,65;33,46;7,56;<LOD;0,84;<LOD;8,24;<LOD;4,83;36,41;6,79;235,6;26,84;158,06;22,23;602526,06;2576,65;38,53;2,04;74,33;2,44;<LOD;45,78;<LOD;1,5;<LOD;1,5;<LOD;1,5;100578,49;1272,7;493,34;70,59;212163,63;1094,16;5996,57;57,71;<LOD;1561,24;;
162;26.09.2023 15:11;TestAll Geo;330,03;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;419,22;4,33;215,11;3,14;<LOD;3,65;47,37;1,96;4,31;0,63;19,11;3,07;<LOD;1,71;<LOD;5,03;<LOD;30,74;0,4;0,14;71,71;5,8;<LOD;31,43;<LOD;13,77;<LOD;27,72;74,08;37,56;17060,12;128,26;259,16;29,85;14,52;6,69;135,86;5,79;5505,89;45,82;<LOD;1,44;5129,06;50,6;13913,7;106,18;342,71;59,97;1145,36;27,29;<LOD;12,57;400,53;15,78;41,88;6,42;<LOD;0,71;<LOD;6,74;<LOD;3,9;31,1;5,56;265,52;22,3;177,49;18,41;604721,19;2298,99;36,42;1,76;57,78;1,96;<LOD;37,27;<LOD;1,5;<LOD;1,5;<LOD;1,5;107205,62;1166,97;<LOD;76,03;228603,23;1022,95;3482,19;39,49;<LOD;1275,7;;
163;26.09.2023 15:19;TestAll Geo;330,31;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;391,12;4,13;170,65;2,79;<LOD;3,47;47,95;1,95;4,18;0,61;20,28;3,06;<LOD;1,69;3,89;2,45;<LOD;28,69;0,38;0,14;66,31;5,62;<LOD;32,16;<LOD;13,2;<LOD;27,66;<LOD;70,12;16278,75;124,06;281,61;29,99;49,59;7,08;134,91;5,65;5933,6;47,36;<LOD;1,27;3637,28;44,73;13963,36;106,71;404,28;61,55;1052,15;26,49;<LOD;12,55;423,41;15,76;49,39;6,42;<LOD;0,72;<LOD;6,47;<LOD;3,65;49,28;5,85;292,55;21,8;176,86;17,75;589539,63;2339,43;34,94;1,74;68,43;2,05;<LOD;36,55;<LOD;1,5;<LOD;1,5;<LOD;1,5;111692,8;1185,64;357,21;53,7;242228,3;1043,79;4061,39;41,89;<LOD;1255,5;;
164;26.09.2023 15:34;TestAll Geo;330,46;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;371,74;4,31;293,83;3,75;<LOD;4,11;63,87;2,25;4,68;0,67;18,8;3,18;<LOD;1,88;5,2;2,57;<LOD;31,39;0,4;0,15;78,3;6,19;<LOD;33,91;<LOD;14,51;<LOD;28,86;112,69;39,83;17811,96;135,08;361,3;33,29;15,58;6,74;219,46;6,39;4007,72;45,57;<LOD;3,18;29488,14;112,87;18421,77;125,06;716,76;77,98;1483,07;30,61;34,13;9,14;461,23;17,26;58,24;6,98;<LOD;0,77;<LOD;7,23;<LOD;4,15;36,76;6,03;304,51;24,26;188,5;19,82;616507,63;2386,44;34,63;1,81;63,68;2,12;<LOD;40,78;<LOD;1,5;<LOD;1,5;<LOD;1,5;82365,72;1140,18;2824,98;85,49;199356,77;960,52;3686,57;44,59;<LOD;1602,52;;
165;26.09.2023 15:53;TestAll Geo;339,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;373,65;3,98;342,19;3,68;<LOD;3,62;51,55;1,88;4,03;0,59;19,13;2,91;<LOD;1,5;5,41;2,35;<LOD;27,19;0,31;0,13;66,6;5,32;<LOD;29,62;<LOD;11,87;<LOD;24,62;<LOD;62,65;15400,75;114,75;285,61;28,66;79,95;12,82;222,84;6,18;6495,06;46,99;;;18112,69;126,24;21179,66;165,37;957,53;148,44;2017,4;37,59;;;;;;;;;<LOD;6,62;<LOD;3,78;;;275,35;22,51;165,59;18,38;617868,19;2183,99;33,79;1,61;55,05;1,79;<LOD;35,45;<LOD;1,5;<LOD;1,5;<LOD;1,5;100022,29;1141,46;2422,5;73,51;207355,73;951,36;3483,79;39,7;<LOD;1317,25;;
166;26.09.2023 15:59;TestAll Geo;330,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;383,64;4,3;211,06;3,2;<LOD;3,85;58,16;2,18;5,07;0,67;13,88;3,01;<LOD;1,83;6,65;2,48;<LOD;30,7;0,25;0,14;70,8;5,98;<LOD;33,76;<LOD;14,33;56,1;15,53;79,8;38,37;16724,47;130,75;263,7;30,91;18,45;6,01;158,35;5,86;4294,49;40,13;<LOD;2,04;13878,24;72,62;11911,53;94,27;438,21;59,52;1067,13;29,24;19,96;9,28;450,17;17,6;51,92;7,09;<LOD;0,79;<LOD;7,12;<LOD;4,25;39,66;6,24;280,8;23,87;168,33;19,46;628435,44;2278,88;37,39;1,86;79,09;2,27;<LOD;39,86;<LOD;1,5;<LOD;1,5;<LOD;1,5;86033,89;1102,21;1475,6;71,78;211706,7;1016,28;3884,67;44,24;<LOD;1412,23;;
167;26.09.2023 16:09;TestAll Geo;330,4;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;106,15;2,74;199,05;3,11;<LOD;4,98;157,91;3,26;5,49;0,73;28,91;3,48;<LOD;1,92;12,6;2,93;<LOD;33,05;0,28;0,15;159,92;8,08;<LOD;35,62;26,35;8,56;112,35;16,31;<LOD;100,02;42753,14;208,08;649,33;40,73;202,96;11,72;136,75;7,43;4677,3;49,1;24,89;2,8;21971,98;140,14;29750,49;217,58;545,98;116,07;648,79;25,64;32,95;8,89;466,26;16,9;57,08;6,81;<LOD;0,76;<LOD;6,97;<LOD;3,99;41,17;5,98;261,04;23,11;163,12;18,98;507489,28;3162,27;15,89;1,6;25,2;1,88;<LOD;47,49;<LOD;1,5;<LOD;1,5;<LOD;1,5;176842,69;1849,58;1678,21;76,11;193903,17;951,54;6902,46;60,63;<LOD;1745,07;;
168;27.09.2023 09:30;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;107,37;2,72;192,9;3,05;<LOD;4,76;156,34;3,2;4,75;0,7;29,2;3,45;<LOD;1,87;11,92;2,9;<LOD;31,59;0,44;0,15;134,95;7,55;<LOD;34,29;37,38;8,73;107,52;16,19;<LOD;99,08;42103,94;204,93;604,99;39,57;200,38;11,5;144,97;7,36;4573,22;47,94;27,6;2,69;20502,43;133,29;28596,35;209,76;595,15;114,02;697,88;26,32;50,34;9,12;488,29;17,36;71,18;7,06;<LOD;0,78;<LOD;7,01;<LOD;4,05;43,73;6,13;248,64;23,15;160,1;19,1;549003,88;2941,92;16,13;1,59;27,26;1,88;<LOD;46,38;<LOD;1,5;<LOD;1,5;<LOD;1,5;153707,06;1696,58;1395,31;74,6;179036,38;911,7;6588,99;59,73;<LOD;1685,61;;
169;27.09.2023 09:36;TestAll Geo;330,06;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;107,76;2,75;194,31;3,08;<LOD;4,77;159,38;3,26;5,04;0,71;29,24;3,49;<LOD;1,94;11,87;2,93;<LOD;32,32;0,32;0,15;146,92;7,83;<LOD;34,34;35,26;8,78;122,17;16,54;<LOD;100;42469,27;207,68;630,4;40,4;213,11;11,56;136,47;7,29;4635,96;48,2;24,76;2,68;20899,72;133,97;29044,08;210,44;579,58;113,63;653,97;25,74;35,34;8,93;463,17;16,92;61,11;6,86;<LOD;0,77;<LOD;6,98;<LOD;4,11;34,39;5,86;293,32;23,59;173,82;19,2;542310,88;3023,35;15,1;1,59;23,92;1,87;<LOD;47,23;<LOD;1,5;<LOD;1,5;<LOD;1,5;157278,34;1732,13;1277,79;73,79;180885,75;918,4;6723,53;60,51;<LOD;1754,02;;
170;27.09.2023 09:42;TestAll Geo;330,03;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;106,21;2,73;196,7;3,08;<LOD;4,81;159,53;3,24;5,07;0,71;28,78;3,45;<LOD;1,87;10,08;2,86;<LOD;31,79;0,36;0,15;148,4;7,82;<LOD;34,79;29,23;8,61;129,17;16,55;<LOD;99,27;42156,38;205,74;602,23;39,63;215,92;11,7;136,98;7,36;4651,67;48,68;24,2;2,71;20767,28;135,18;29018,89;212,86;532,73;113,74;644,27;25,62;39,09;8,92;457,27;16,84;58,72;6,83;<LOD;0,76;<LOD;6,97;<LOD;4,18;39,14;5,94;300,6;23,62;163,15;19,04;540876,56;3029,45;16,49;1,61;24,39;1,86;<LOD;47,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;158125,41;1733,7;1390,7;74,45;181928,86;918,38;6673,78;60,12;<LOD;1762,94;;
171;27.09.2023 09:47;TestAll Geo;330,47;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;105,63;2,71;194,69;3,05;<LOD;4,76;157,19;3,2;4,91;0,7;26,51;3,37;<LOD;1,94;12,54;2,86;<LOD;30,46;0,49;0,15;143,95;7,73;<LOD;35,69;26,82;8,52;124,13;16,3;<LOD;98,26;42319,1;205,23;634,72;40,1;208,18;11,68;141,32;7,42;4598,48;48,35;24,8;2,72;20936,94;136,01;29101,35;213,67;508,59;113,54;636,27;25,41;32,48;8,83;447,72;16,64;58,53;6,77;<LOD;0,75;<LOD;6,96;<LOD;4,06;40,56;5,93;279,25;23,35;192,79;19,33;536673;3020,24;15,94;1,59;24,77;1,85;<LOD;46,58;<LOD;1,5;<LOD;1,5;<LOD;1,5;160599,75;1741,25;1389,08;74,24;183520,61;917,2;6680,84;59,9;<LOD;1727,12;;
172;27.09.2023 09:53;TestAll Geo;330,5;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;106,79;2,78;197,1;3,13;<LOD;4,96;156,21;3,27;5,51;0,73;28,97;3,53;<LOD;2,04;11,42;2,95;<LOD;32,73;0,31;0,15;138,86;7,8;<LOD;36,41;33,73;8,85;116,6;16,59;<LOD;101,02;42812,37;210,45;608,51;40,38;211,58;11,65;136,86;7,38;4647,08;48,8;25,19;2,72;21076,62;135,9;29107,49;212,9;649,95;116,59;662,66;25,75;36,79;8,92;450,82;16,8;65,52;6,9;<LOD;0,76;<LOD;7,07;<LOD;4,06;37,78;5,92;280,27;23,43;189,54;19,36;529889,13;3078,62;15,81;1,62;25,6;1,9;<LOD;47,92;<LOD;1,5;<LOD;1,5;<LOD;1,5;164287,13;1780,16;1398,29;74,73;185429,53;931,15;6774,22;60,82;<LOD;1724,01;;
173;27.09.2023 09:59;TestAll Geo;330,35;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;104,67;2,7;196,35;3,06;<LOD;4,8;156,18;3,19;5,06;0,7;27,51;3,39;<LOD;1,92;10,65;2,83;<LOD;32,14;0,37;0,15;140,16;7,63;<LOD;34,99;32,28;8,6;124,66;16,31;<LOD;98,46;42304,88;204,43;614,69;39,57;217,37;11,74;144,14;7,39;4603,65;48,21;26,16;2,73;20914,17;135,6;29081,44;213,06;574,36;114,86;671,38;25,91;36,32;8,96;451,04;16,88;62,51;6,9;<LOD;0,77;<LOD;7;<LOD;4,03;41,1;6,01;295,98;23,37;197,12;19,24;535255,13;3050,2;16,04;1,58;24,79;1,84;<LOD;46,41;<LOD;1,5;<LOD;1,5;<LOD;1,5;161403,97;1755,61;1413,02;74,62;184113,28;919,75;6705,85;60,18;<LOD;1764,28;;
174;27.09.2023 10:05;TestAll Geo;330,28;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;105,92;2,73;195,89;3,09;<LOD;4,94;159,12;3,24;4,51;0,7;26,98;3,41;<LOD;1,91;12,3;2,88;<LOD;31,86;0,41;0,15;141,32;7,73;<LOD;35;37,22;8,79;119,22;16,37;<LOD;99,26;42295,68;206,75;625,1;40,23;218,94;11,81;136,08;7,45;4604,93;48,65;25,09;2,74;20983,34;136,91;29269,45;215,4;537,35;114,97;647,34;25,58;29,61;8,86;468,86;16,89;61,57;6,84;<LOD;0,75;<LOD;7,05;<LOD;4,12;44,89;6,05;273,45;23,43;180,63;19,33;529544,94;3083,85;15,81;1,6;25,83;1,88;<LOD;46,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;164995,78;1784,57;1460,34;75,39;185853,23;927,63;6753,38;60,63;<LOD;1748,8;;
175;27.09.2023 10:10;TestAll Geo;330,37;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;104,99;2,77;198,7;3,14;<LOD;4,92;159,45;3,31;5,69;0,74;29,43;3,54;<LOD;2,03;13,62;3;<LOD;32,08;0,43;0,15;149,81;7,98;<LOD;35,8;26,61;8,68;120,55;16,65;<LOD;101,07;42747,26;210,33;650,29;41,09;221,21;11,75;134,25;7,4;4656,59;48,95;26,99;2,74;20990;136,07;29285,11;214,09;618,46;116,25;643,24;25,58;34,06;8,89;460,84;16,85;58,52;6,82;<LOD;0,77;<LOD;7,07;<LOD;4,18;41,9;5,99;292;23,6;188,59;19,39;522003,38;3152,87;16,44;1,63;25,51;1,91;<LOD;48,4;<LOD;1,5;<LOD;1,5;<LOD;1,5;168867,45;1828,57;1491,78;76,44;188598,7;943,78;6893,38;61,89;<LOD;1763,11;;
176;27.09.2023 10:16;TestAll Geo;330,24;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;109,05;2,74;195,84;3,06;<LOD;4,87;157,26;3,21;5,19;0,71;26,13;3,38;<LOD;1,96;14,8;2,9;<LOD;31,15;0,37;0,15;148,26;7,79;<LOD;34,66;37,25;8,74;133,92;16,44;<LOD;98,24;42411,75;205,4;652,54;40,47;210,44;11,59;134,88;7,35;4650,48;48,41;24;2,71;21070,36;135,44;29164,03;212,38;496,31;112,54;650,49;25,74;49,23;9;474,16;17,04;61,02;6,88;<LOD;0,76;<LOD;7,03;<LOD;4,12;40,03;5,98;292,72;23,56;173,54;19,19;523380,88;3099,75;16,06;1,59;24,9;1,85;<LOD;46,68;<LOD;1,5;<LOD;1,5;<LOD;1,5;168316,67;1804,54;1359,01;74,7;188668,27;931,66;6841,04;61,04;<LOD;1736,53;;
177;27.09.2023 10:22;TestAll Geo;330,2;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;106,69;2,74;196,81;3,1;<LOD;4,89;159,78;3,26;5,07;0,71;26,32;3,41;<LOD;1,94;14,23;2,92;<LOD;32,56;0,38;0,15;143,57;7,79;<LOD;35,69;26,44;8,57;116,25;16,31;<LOD;99,12;42466,89;207,37;618,87;40,22;200,37;11,74;143,99;7,45;4599,38;48,65;26,4;2,76;21085,21;137,32;29053,34;214,9;515,78;114,56;640,42;25,4;29,86;8,81;469,05;16,8;57,03;6,75;<LOD;0,76;<LOD;7,02;<LOD;4,17;37,82;5,87;270,83;23,44;166,35;19,21;520742,22;3162,63;16,94;1,61;24,6;1,87;<LOD;47,37;<LOD;1,5;<LOD;1,5;<LOD;1,5;171173,95;1839,46;1412,19;75,47;188582,55;938,76;6801,4;61,27;<LOD;1780,48;;
178;27.09.2023 10:27;TestAll Geo;330,31;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;106,98;2,76;195,76;3,11;<LOD;4,99;155,92;3,26;5,62;0,73;25,58;3,42;<LOD;2,04;10,86;2,85;<LOD;31,49;0,41;0,15;142,97;7,81;<LOD;35,34;<LOD;14,23;113,35;16,44;<LOD;100,42;42299,59;208,2;634,39;40,58;206,47;11,67;132,66;7,41;4657,56;48,86;27,84;2,75;21033,81;136,4;29407,89;214,78;551,21;114,9;672,36;25,73;33,97;8,88;460,05;16,82;58,67;6,82;<LOD;0,76;<LOD;7,08;<LOD;4,12;35,07;5,84;298;23,56;183,54;19,24;519465,94;3145,5;17,7;1,63;24,99;1,88;<LOD;47,64;<LOD;1,5;<LOD;1,5;<LOD;1,5;171391,59;1837,53;1303,88;74,18;189393,14;953,54;6875,79;61,49;<LOD;1761,66;;
179;27.09.2023 10:33;TestAll Geo;330,05;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;1,5;106,11;2,74;196,06;3,09;<LOD;4,92;157,61;3,25;5,3;0,72;27,02;3,42;<LOD;1,91;13,63;2,91;<LOD;31,18;0,39;0,15;132,89;7,58;<LOD;35,41;31;8,67;124,41;16,47;<LOD;99,56;42405,52;207,19;655,3;40,74;201,33;11,62;142,73;7,4;4607,51;48,35;25,65;2,73;21046,62;136,14;29279,69;213,92;593,73;115,6;655,34;25,72;42,69;8,95;463,99;16,92;66,08;6,91;<LOD;0,76;<LOD;7,02;<LOD;4,04;40,83;5,99;281,25;23,37;193,19;19,33;517899,03;3125,47;16,44;1,61;25,16;1,88;<LOD;47,23;<LOD;1,5;<LOD;1,5;<LOD;1,5;172375,98;1837,51;1463,55;75,56;190056,95;952,01;6894,47;61,45;<LOD;1728,51;;
